,CASE_ID,COLLISION_DATE_DT,COLLISION_SEVERITY,CITY,POINT_X,POINT_Y,geometry,AT_FAULT,PARTY_SEX,PARTY_AGE,RACE,LIGHTING,DAY_OF_WEEK,WEATHER_1,PRIMARY_COLL_FACTOR,PED_ACTION,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,PRIMARY_RD,SECONDARY_RD,road_class_id,route_id,road_class,road_class_name,island_id,networkLinkId,volume,volume_road_name,signal_id,traffic_signals
140,9775956,2024-12-12,4,OAKLAND,-122.26546478271484,37.79693984985352,POINT (-13610529.281214738 4550779.805170529),N,F,67,A,A,4,B,A,B,0,1,8TH ST,OAK ST,770177,ALA_OAK_8TH ST_P,4,minor arterial,,10210323342882385262,6051269.424117529,8th Street,,
141,9771195,2024-11-08,4,OAKLAND,-122.26546478271484,37.79693984985352,POINT (-13610529.281214738 4550779.805170529),N,M,55,H,A,5,A,A,B,0,1,OAK ST,8TH ST,770177,ALA_OAK_8TH ST_P,4,minor arterial,,10210323342882385262,6051269.424117529,8th Street,,
142,9676025,2023-09-23,4,OAKLAND,-122.26546478271484,37.79693984985352,POINT (-13610529.281214738 4550779.805170529),N,M,63,B,B,6,A,D,B,0,1,8TH ST,OAK ST,770177,ALA_OAK_8TH ST_P,4,minor arterial,,10210323342882385262,6051269.424117529,8th Street,,
143,9702649,2024-05-16,4,OAKLAND,-122.26456451416016,37.798309326171875,POINT (-13610429.063777654 4550972.735040927),N,F,32,B,A,4,A,A,B,0,1,10TH ST,OAK ST,770185,ALA_OAK_10TH ST_P,5,major collector,,11332401494913277264,57795.58428056668,10th Street,,
144,9590834,2023-01-14,4,OAKLAND,-122.26534271240234,37.799461364746094,POINT (-13610515.692409711 4551135.035362068),N,F,22,B,C,6,B,A,E,0,1,11TH ST,MADISON ST,490191,ALA_OAK_11TH ST_S,4,minor arterial,,17406440345249654679,4664059.17094797,11th Street,,
145,9745538,2024-01-12,4,OAKLAND,-122.26372528076172,37.799686431884766,POINT (-13610335.640743082 4551166.743336265),N,M,45,A,A,5,B,A,B,0,1,12TH AV,OAK ST,770265,ALA_OAK_12TH ST_P,4,minor arterial,,13286596395613005574,16153137.029392922,12th Street,,
146,9883384,2025-05-14,4,OAKLAND,-122.26287078857422,37.80105209350586,POINT (-13610240.519107884 4551359.142946319),N,M,53,B,A,3,A,A,B,0,1,14TH ST,OAK ST,491900,ALA_OAK_LAKE MERRITT BLVD_P,3,other principal arterial,way/1455284230,3266463290341455165,8225944.944909943,Oak Street,node/53082893,signal
147,9678601,2023-12-18,4,OAKLAND,-122.26829528808594,37.79210662841797,POINT (-13610844.371631337 4550098.93641196),N,F,17,B,B,1,B,D,B,0,1,OAK ST,W EMBARCADERO,492298,ALA_OAK_OAK ST_P,4,minor arterial,,4706869414119095498,159727.4414158369,Oak Street,,
148,9724657,2024-01-21,3,OAKLAND,-122.26837921142578,37.79461669921875,POINT (-13610853.713934792 4550452.531202227),N,M,22,H,C,7,C,D,B,0,1,4TH ST,MADISON ST,490387,ALA_OAK_4TH ST_P,7,local,,1118334448221714872,21328.439150231326,Madison Street,,
149,9467494,2023-01-11,4,OAKLAND,-122.26663970947266,37.79739761352539,POINT (-13610660.073463138 4550844.293865741),N,F,58,,A,3,C,A,B,0,1,8TH ST,MADISON ST,770177,ALA_OAK_8TH ST_P,4,minor arterial,,6949503409731715226,5352972.408081192,8th Street,,
150,9830902,2025-04-17,2,OAKLAND,-122.26663970947266,37.79739761352539,POINT (-13610660.073463138 4550844.293865741),N,F,79,A,A,4,B,A,B,0,1,8TH ST,MADISON ST,770177,ALA_OAK_8TH ST_P,4,minor arterial,,6949503409731715226,5352972.408081192,8th Street,,
151,9471198,2023-08-11,4,OAKLAND,-122.26663970947266,37.79739761352539,POINT (-13610660.073463138 4550844.293865741),N,M,69,A,A,5,A,A,B,0,1,8TH ST,MADISON ST,770177,ALA_OAK_8TH ST_P,4,minor arterial,,6949503409731715226,5352972.408081192,8th Street,,
152,9818692,2025-04-30,4,OAKLAND,-122.26781463623048,37.797847747802734,POINT (-13610790.865711538 4550907.708139051),N,F,71,,A,3,A,A,B,0,1,JACKSON ST,8TH ST,770177,ALA_OAK_8TH ST_P,4,minor arterial,,7557173556419657581,1230894.433861828,8th Street,,
153,9833345,2025-05-27,3,OAKLAND,-122.26780700683594,37.79785919189453,POINT (-13610790.016411223 4550909.320371376),N,M,63,,A,2,A,A,B,0,1,8TH ST,JACKSON ST,770177,ALA_OAK_8TH ST_P,4,minor arterial,,7557173556419657581,1230894.433861828,8th Street,,
154,9683444,2024-03-14,4,OAKLAND,-122.2697525024414,37.799468994140625,POINT (-13611006.587991362 4551136.110207068),N,F,84,A,A,4,A,A,B,0,1,9TH ST,HARRISON ST,490548,ALA_OAK_9TH ST_P,7,local,,2628047100744588651,241979.3880933844,9th Street,,
155,9632295,2023-09-10,4,OAKLAND,-122.2697525024414,37.799468994140625,POINT (-13611006.587991362 4551136.110207068),N,M,65,,A,7,A,A,C,0,1,HARRISON ST,9TH ST,490548,ALA_OAK_9TH ST_P,7,local,,2628047100744588651,241979.3880933844,9th Street,,
156,9816187,2025-04-29,4,OAKLAND,-122.26815032958984,37.79967498779297,POINT (-13610828.234925367 4551165.131064058),N,F,14,A,A,2,A,A,B,0,1,10TH ST,ALICE ST,770185,ALA_OAK_10TH ST_P,5,major collector,,6296681395576425771,30251.844787766164,Alice Street,,
157,9698071,2024-01-19,4,OAKLAND,-122.25375366210938,37.79714584350586,POINT (-13609225.60523232 4550808.825033922),N,M,30,,B,5,B,A,B,0,1,4TH AV,E 15TH ST,490386,ALA_OAK_4TH AVE_P,3,other principal arterial,,5730102143298220819,194956.5571569851,East 15th Street,,
158,9562215,2023-03-15,4,OAKLAND,-122.25010681152344,37.79838180541992,POINT (-13608819.639682092 4550982.94591367),Y,M,55,B,C,3,A,A,B,0,1,E 18TH ST,5TH AV,491246,ALA_OAK_E 18TH ST_P,5,major collector,,17087247927537589531,138227.26029844346,5th Avenue,,
159,9873451,2025-06-22,3,OAKLAND,-122.2555923461914,37.79983901977539,POINT (-13609430.286608059 4551188.240322876),N,F,66,A,A,7,A,A,B,0,1,LAKESHORE AV,E 16TH ST,491905,ALA_OAK_LAKESHORE AVE_P,5,major collector,,9031105571156565654,3963279.0501434193,Lakeshore Avenue,,
